number,generated_file,original_file,capture_date,display_date,width,height,optimized_bytes,thumbnail_bytes
196,bgfs-0196.jpg,IMG_20251111_070502.jpg,2025-11-11,"November 11, 2025",2400,1802,897352,76130
197,bgfs-0197.jpg,IMG_20251108_084030.jpg,2025-11-08,"November 8, 2025",1802,2400,749848,79346
198,bgfs-0198.jpg,IMG_20251108_084000.jpg,2025-11-08,"November 8, 2025",1802,2400,857965,70193
199,bgfs-0199.jpg,IMG_20251106_160812.jpg,2025-11-06,"November 6, 2025",1802,2400,782660,70709
200,bgfs-0200.jpg,IMG_20251106_160815.jpg,2025-11-06,"November 6, 2025",1802,2400,961021,79491
201,bgfs-0201.jpg,IMG_20251105_085615.jpg,2025-11-05,"November 5, 2025",2400,1802,787404,90511
202,bgfs-0202.jpg,IMG_20251105_075352.jpg,2025-11-05,"November 5, 2025",1802,2400,947603,74983
203,bgfs-0203.jpg,IMG_20251105_092601.jpg,2025-11-05,"November 5, 2025",2400,1802,764838,82092
204,bgfs-0204.jpg,IMG_20251105_092610.jpg,2025-11-05,"November 5, 2025",2400,1802,792951,82639
205,bgfs-0205.jpg,IMG_20251104_165043.jpg,2025-11-04,"November 4, 2025",2400,1802,612580,66851
206,bgfs-0206.jpg,IMG_20251104_165039.jpg,2025-11-04,"November 4, 2025",2400,1802,678485,64848
207,bgfs-0207.jpg,IMG_20251029_090424.jpg,2025-10-29,"October 29, 2025",2400,1800,682609,80537
208,bgfs-0208.jpg,IMG_20251027_094743.jpg,2025-10-27,"October 27, 2025",1802,2400,1118243,109754
209,bgfs-0209.jpg,IMG_20251027_094731.jpg,2025-10-27,"October 27, 2025",2400,1802,1303186,105387
210,bgfs-0210.jpg,IMG_20251027_094720.jpg,2025-10-27,"October 27, 2025",2400,1802,1619341,134967
211,bgfs-0211.jpg,IMG_20251027_104023.jpg,2025-10-27,"October 27, 2025",2400,1802,417299,45240
212,bgfs-0212.jpg,IMG_20251027_102508.jpg,2025-10-27,"October 27, 2025",1800,2400,899908,66987
213,bgfs-0213.jpg,IMG_20251027_102522.jpg,2025-10-27,"October 27, 2025",1802,2400,1251472,83202
214,bgfs-0214.jpg,IMG_20251027_102441.jpg,2025-10-27,"October 27, 2025",2400,1802,948107,78459
215,bgfs-0215.jpg,IMG_20251025_142831.jpg,2025-10-25,"October 25, 2025",2400,1802,1059067,89783
216,bgfs-0216.jpg,IMG_20251025_074428.jpg,2025-10-25,"October 25, 2025",1802,2400,1657098,153670
217,bgfs-0217.jpg,IMG_20251014_071129.jpg,2025-10-14,"October 14, 2025",2400,1802,912567,78262
218,bgfs-0218.jpg,IMG_20251013_181650.jpg,2025-10-13,"October 13, 2025",2400,1802,593984,53176
219,bgfs-0219.jpg,IMG_20251013_143402.jpg,2025-10-13,"October 13, 2025",2400,1800,915708,85180
220,bgfs-0220.jpg,IMG_20251013_181734.jpg,2025-10-13,"October 13, 2025",1802,2400,901174,81963
221,bgfs-0221.jpg,IMG_20251013_110743.jpg,2025-10-13,"October 13, 2025",2400,1802,1071474,88377
222,bgfs-0222.jpg,IMG_20251013_143633.jpg,2025-10-13,"October 13, 2025",2400,1800,764425,76278
223,bgfs-0223.jpg,IMG_20251013_181637.jpg,2025-10-13,"October 13, 2025",2400,1802,789670,69500
224,bgfs-0224.jpg,IMG_20251008_065843.jpg,2025-10-08,"October 8, 2025",2400,1802,599104,75028
225,bgfs-0225.jpg,IMG_20251007_065245.jpg,2025-10-07,"October 7, 2025",2400,1802,608525,50805
226,bgfs-0226.jpg,IMG_20251007_061902.jpg,2025-10-07,"October 7, 2025",2400,1802,593238,63861
227,bgfs-0227.jpg,IMG_20251007_121747.jpg,2025-10-07,"October 7, 2025",2400,1802,825892,77668
228,bgfs-0228.jpg,IMG_20251007_111754.jpg,2025-10-07,"October 7, 2025",1800,2400,786895,74218
229,bgfs-0229.jpg,IMG_20251007_062038.jpg,2025-10-07,"October 7, 2025",2400,1800,658132,57263
230,bgfs-0230.jpg,IMG_20251007_065310.jpg,2025-10-07,"October 7, 2025",2400,1802,1161533,91677
231,bgfs-0231.jpg,IMG_20251007_061706.jpg,2025-10-07,"October 7, 2025",2400,1802,498102,44631
232,bgfs-0232.jpg,IMG_20251007_062122.jpg,2025-10-07,"October 7, 2025",2400,1800,824550,62322
233,bgfs-0233.jpg,IMG_20251007_121653.jpg,2025-10-07,"October 7, 2025",2400,1802,732120,72826
234,bgfs-0234.jpg,IMG_20251007_062056.jpg,2025-10-07,"October 7, 2025",2400,1800,194875,12775
235,bgfs-0235.jpg,IMG_20251005_153359.jpg,2025-10-05,"October 5, 2025",1802,2400,1172361,91198
236,bgfs-0236.jpg,photo_20251003_142905_4996694686403099157.jpg.jpg,2025-10-03,"October 3, 2025",2400,1802,1120891,92207
237,bgfs-0237.jpg,IMG_20251002_132247.jpg,2025-10-02,"October 2, 2025",2400,1802,935499,73479
